1000,1.72E+09,3.56E+08,4.11E+08,2.83E+08,4.32E+07
2000,1.72E+09,3.58E+08,4.10E+08,5.64E+08,4.31E+07
3000,1.72E+09,3.58E+08,4.12E+08,8.49E+08,4.33E+07
4000,1.72E+09,3.56E+08,4.10E+08,1.12E+09,4.32E+07
5000,1.72E+09,3.56E+08,4.10E+08,1.40E+09,4.32E+07
6000,1.72E+09,3.56E+08,4.10E+08,1.67E+09,4.30E+07
7000,1.74E+09,3.59E+08,4.14E+08,1.97E+09,4.35E+07
8000,1.72E+09,3.56E+08,4.11E+08,2.22E+09,4.31E+07
9000,1.72E+09,3.58E+08,4.10E+08,2.51E+09,4.32E+07
10000,1.72E+09,3.57E+08,4.11E+08,2.76E+09,4.31E+07
20000,1.72E+09,3.58E+08,4.12E+08,5.43E+09,4.31E+07
200230,1.72E+09,3.57E+08,4.11E+08,3.04E+10,4364
