1,5.62E+08,4.22E+08,6.91E+08,943140,35749
2,5.63E+08,4.23E+08,6.94E+08,2.04E+06,35130
3,5.63E+08,4.21E+08,6.90E+08,3.08E+06,35132
4,5.62E+08,4.22E+08,6.92E+08,4.02E+06,34650
5,5.64E+08,4.27E+08,7.15E+08,5.25E+06,34348
6,5.61E+08,4.20E+08,6.90E+08,6.59E+06,34955
7,5.63E+08,4.22E+08,6.94E+08,7.50E+06,34914
8,5.65E+08,4.24E+08,6.94E+08,8.44E+06,35181
9,5.61E+08,4.25E+08,6.91E+08,9.39E+06,34714
10,5.64E+08,4.26E+08,6.95E+08,1.05E+07,34616
20,5.60E+08,4.21E+08,6.90E+08,2.06E+07,33593
201,5.62E+08,4.21E+08,6.91E+08,8.75E+08,4444
