1000,1.74E+09,7.42E+06,8.49E+09
2000,1.72E+09,1.45E+07,7.76E+09
3000,1.72E+09,2.13E+07,7.69E+09
4000,1.72E+09,2.78E+07,7.19E+09
5000,1.72E+09,3.40E+07,7.15E+09
6000,1.73E+09,4.00E+07,6.85E+09
7000,1.72E+09,4.57E+07,6.30E+09
8000,1.72E+09,5.12E+07,6.34E+09
9000,1.72E+09,5.63E+07,6.00E+09
10000,1.72E+09,6.13E+07,5.86E+09
20000,1.72E+09,1.05E+08,4.31E+09
180139,1.72E+09,3.56E+08,8.68E+08
