No.Of actions,Policy_time,Scan_time
10,4.47E+08,8.36E+09
20,5.62E+08,8.50E+09
30,6.45E+08,8.47E+09
40,6.96E+08,8.47E+09
50,7.34E+08,8.51E+09
60,7.65E+08,8.48E+09
70,7.98E+08,8.51E+09
80,8.24E+08,8.46E+09
90,8.46E+08,8.49E+09
100,8.63E+08,8.48E+09
200,9.85E+08,8.49E+09
201,9.83E+08,8.44E+09
