No.Of actions,Policy_time,Scan_time
1000,1.26E+09,8.57E+09
2000,1.37E+09,8.38E+09
3000,1.43E+09,8.67E+09
4000,1.47E+09,8.84E+09
5000,1.52E+09,8.76E+09
6000,1.54E+09,8.50E+09
7000,1.57E+09,8.75E+09
8000,1.58E+09,8.72E+09
9000,1.60E+09,8.58E+09
10000,1.62E+09,8.78E+09
20000,1.72E+09,8.65E+09
20092,1.72E+09,8.71E+09
